Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
513288,Mrzky,126,79,79,"15,18 %","0,00 %","0,00 %","8,86 %","0,00 %","5,06 %","8,86 %","1,26 %","0,00 %","0,00 %","0,00 %","1,26 %","10,12 %","0,00 %","0,00 %","1,26 %","34,17 %","0,00 %","0,00 %","1,26 %","0,00 %","0,00 %","0,00 %","2,53 %","7,59 %","2,53 %"
533521,Nebovidy,533,387,385,"8,83 %","0,00 %","0,00 %","7,27 %","0,25 %","23,37 %","8,05 %","1,03 %","0,25 %","1,81 %","0,00 %","0,25 %","6,23 %","0,00 %","0,00 %","2,59 %","26,75 %","0,00 %","0,00 %","1,29 %","0,00 %","0,25 %","0,00 %","0,25 %","11,16 %","0,25 %"
571636,Němčice,286,161,159,"4,40 %","0,00 %","0,00 %","5,66 %","0,00 %","17,61 %","12,57 %","0,62 %","1,25 %","1,88 %","0,00 %","0,00 %","3,77 %","0,00 %","0,00 %","3,14 %","35,22 %","0,00 %","0,00 %","4,40 %","0,00 %","0,00 %","0,00 %","1,25 %","8,17 %","0,00 %"
533530,Nová Ves I,973,619,614,"9,60 %","0,00 %","0,00 %","6,18 %","0,00 %","21,98 %","9,12 %","1,30 %","0,81 %","1,95 %","0,16 %","0,00 %","5,21 %","0,32 %","0,00 %","2,44 %","28,82 %","0,00 %","0,00 %","2,11 %","0,00 %","0,97 %","0,00 %","0,00 %","8,79 %","0,16 %"
533556,Ohaře,242,142,140,"5,71 %","0,00 %","0,00 %","5,71 %","0,00 %","14,28 %","13,57 %","1,42 %","0,71 %","2,14 %","0,00 %","0,00 %","12,14 %","0,00 %","0,00 %","1,42 %","28,57 %","0,00 %","0,00 %","6,42 %","0,00 %","0,00 %","0,00 %","0,71 %","6,42 %","0,71 %"
533572,Ovčáry,623,401,400,"8,00 %","0,25 %","0,00 %","6,75 %","0,00 %","22,75 %","11,25 %","0,25 %","1,00 %","1,00 %","0,00 %","0,25 %","4,75 %","0,00 %","0,00 %","1,75 %","30,00 %","0,00 %","0,25 %","2,00 %","0,00 %","0,25 %","0,00 %","0,00 %","8,50 %","1,00 %"
513423,Pašinka,288,175,174,"6,89 %","0,00 %","0,57 %","2,29 %","0,00 %","19,54 %","7,47 %","0,57 %","1,14 %","0,57 %","0,00 %","0,00 %","14,94 %","0,00 %","0,00 %","2,29 %","31,60 %","0,00 %","0,57 %","3,44 %","0,00 %","0,00 %","0,00 %","0,00 %","8,04 %","0,00 %"
537641,Pečky,3 640,2 266,2 253,"10,96 %","0,26 %","0,00 %","7,27 %","0,00 %","10,74 %","11,27 %","1,06 %","0,79 %","1,50 %","0,04 %","0,08 %","9,63 %","0,04 %","0,08 %","3,90 %","28,27 %","0,00 %","0,04 %","2,44 %","0,04 %","0,44 %","0,17 %","0,17 %","10,38 %","0,31 %"
533581,Plaňany,1 411,742,735,"7,61 %","1,76 %","0,00 %","6,66 %","0,00 %","14,01 %","14,42 %","1,08 %","0,95 %","1,76 %","0,13 %","0,13 %","5,85 %","0,00 %","0,00 %","3,12 %","30,34 %","0,00 %","0,40 %","1,08 %","0,27 %","0,00 %","0,00 %","0,00 %","9,93 %","0,40 %"
537675,Pňov-Předhradí,447,279,279,"6,45 %","0,00 %","0,00 %","8,60 %","0,00 %","17,56 %","8,96 %","0,71 %","0,71 %","0,71 %","0,00 %","0,00 %","6,45 %","0,00 %","0,00 %","2,86 %","31,54 %","0,00 %","0,35 %","6,09 %","0,00 %","0,00 %","0,00 %","0,35 %","8,60 %","0,00 %"
533599,Polepy,551,390,389,"8,99 %","0,00 %","0,00 %","4,11 %","0,00 %","23,90 %","6,16 %","1,02 %","0,00 %","1,28 %","0,00 %","0,00 %","11,05 %","0,00 %","0,00 %","3,85 %","29,30 %","0,25 %","0,00 %","2,31 %","0,00 %","0,25 %","0,00 %","0,00 %","7,45 %","0,00 %"
513237,Polní Chrčice,144,99,98,"7,14 %","0,00 %","0,00 %","6,12 %","0,00 %","18,36 %","7,14 %","1,02 %","2,04 %","4,08 %","0,00 %","0,00 %","7,14 %","0,00 %","0,00 %","2,04 %","36,73 %","0,00 %","1,02 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,14 %","0,00 %"
513148,Polní Voděrady,134,91,91,"5,49 %","1,09 %","0,00 %","9,89 %","0,00 %","14,28 %","13,18 %","1,09 %","0,00 %","0,00 %","1,09 %","0,00 %","6,59 %","0,00 %","0,00 %","2,19 %","31,86 %","0,00 %","0,00 %","2,19 %","0,00 %","0,00 %","0,00 %","0,00 %","10,98 %","0,00 %"
537705,Poříčany,1 156,799,795,"12,20 %","0,37 %","0,00 %","5,40 %","0,25 %","8,05 %","5,78 %","2,26 %","2,01 %","1,76 %","0,12 %","0,00 %","11,06 %","0,00 %","0,00 %","5,91 %","32,70 %","0,00 %","0,25 %","3,27 %","0,00 %","0,88 %","0,12 %","0,12 %","7,16 %","0,25 %"
513369,Přehvozdí,218,159,158,"13,29 %","0,63 %","0,00 %","4,43 %","0,63 %","10,75 %","5,69 %","0,63 %","1,26 %","0,63 %","0,00 %","0,00 %","11,39 %","0,00 %","0,00 %","5,69 %","28,48 %","0,00 %","0,63 %","0,00 %","0,00 %","0,63 %","0,63 %","0,00 %","12,65 %","1,89 %"
513393,Přistoupim,355,233,230,"10,00 %","0,86 %","0,00 %","5,21 %","0,00 %","6,08 %","5,65 %","0,86 %","0,00 %","0,43 %","0,00 %","0,00 %","14,78 %","0,00 %","0,00 %","5,65 %","37,39 %","0,00 %","0,00 %","2,60 %","0,00 %","0,86 %","0,43 %","0,00 %","8,69 %","0,43 %"
533611,Přišimasy,605,362,361,"13,85 %","0,27 %","1,10 %","4,15 %","0,27 %","8,58 %","3,60 %","1,10 %","0,00 %","1,93 %","0,00 %","0,27 %","15,78 %","0,00 %","0,00 %","9,41 %","21,88 %","0,00 %","0,00 %","3,87 %","0,00 %","0,27 %","0,83 %","0,00 %","12,74 %","0,00 %"
533629,Radim,945,599,594,"6,39 %","0,67 %","0,00 %","6,73 %","0,00 %","14,64 %","11,95 %","0,84 %","0,67 %","2,52 %","0,00 %","0,67 %","8,75 %","0,00 %","0,00 %","3,19 %","26,26 %","0,16 %","0,16 %","2,02 %","0,00 %","0,67 %","0,50 %","0,00 %","12,45 %","0,67 %"
533637,Radovesnice I,296,222,221,"14,02 %","0,00 %","0,00 %","9,04 %","0,00 %","22,62 %","8,14 %","0,45 %","0,00 %","1,35 %","0,00 %","0,45 %","7,23 %","0,00 %","0,00 %","4,97 %","22,62 %","0,00 %","0,45 %","0,90 %","0,00 %","0,00 %","0,45 %","0,00 %","7,23 %","0,00 %"
533645,Radovesnice II,405,249,248,"6,04 %","0,00 %","0,00 %","14,91 %","0,40 %","10,88 %","14,11 %","0,40 %","0,40 %","0,00 %","0,00 %","0,00 %","6,85 %","0,00 %","0,00 %","5,24 %","26,61 %","0,00 %","0,40 %","0,80 %","0,00 %","1,20 %","0,00 %","0,00 %","11,69 %","0,00 %"
533653,Ratboř,468,317,315,"9,20 %","0,00 %","0,00 %","9,84 %","0,00 %","15,55 %","7,93 %","0,31 %","0,00 %","0,00 %","0,00 %","0,00 %","11,74 %","0,00 %","0,00 %","4,76 %","31,11 %","0,00 %","0,00 %","0,63 %","0,31 %","2,22 %","0,00 %","0,00 %","6,34 %","0,00 %"
537748,Ratenice,470,286,282,"8,15 %","0,35 %","0,00 %","7,09 %","0,00 %","14,18 %","10,63 %","1,41 %","0,70 %","0,70 %","0,00 %","0,00 %","9,57 %","0,00 %","0,00 %","4,60 %","29,43 %","0,00 %","0,35 %","2,48 %","0,00 %","0,00 %","0,35 %","0,00 %","9,92 %","0,00 %"
533661,Rostoklaty,385,222,219,"16,89 %","0,45 %","0,00 %","7,76 %","0,00 %","8,21 %","7,30 %","1,82 %","0,00 %","2,28 %","0,00 %","0,00 %","14,61 %","0,00 %","0,00 %","4,56 %","26,48 %","0,00 %","0,45 %","0,91 %","0,00 %","1,82 %","0,00 %","0,45 %","5,93 %","0,00 %"
533696,Skvrňov,160,105,105,"7,61 %","0,00 %","0,00 %","12,38 %","0,00 %","6,66 %","11,42 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","9,52 %","0,00 %","0,00 %","11,42 %","30,47 %","0,00 %","0,00 %","1,90 %","0,00 %","0,00 %","0,00 %","0,95 %","7,61 %","0,00 %"
533700,Starý Kolín,1 265,799,780,"10,38 %","0,38 %","0,00 %","8,20 %","0,12 %","15,76 %","6,79 %","0,38 %","0,76 %","0,89 %","0,00 %","0,00 %","7,17 %","0,00 %","0,00 %","2,30 %","31,53 %","0,00 %","0,00 %","1,92 %","0,00 %","0,51 %","0,00 %","0,00 %","12,69 %","0,12 %"
533726,Svojšice,461,236,236,"5,50 %","0,00 %","0,00 %","5,93 %","0,00 %","13,55 %","10,16 %","1,69 %","0,42 %","0,00 %","0,84 %","0,00 %","7,62 %","0,00 %","0,42 %","1,69 %","38,13 %","0,00 %","0,00 %","2,11 %","0,00 %","1,69 %","0,00 %","0,84 %","8,47 %","0,84 %"
537888,Tatce,501,329,327,"9,78 %","0,91 %","0,00 %","9,48 %","0,00 %","10,09 %","11,31 %","0,61 %","1,83 %","0,91 %","0,30 %","0,00 %","7,64 %","0,00 %","0,00 %","5,19 %","23,24 %","0,00 %","0,30 %","2,75 %","0,00 %","0,30 %","0,30 %","0,00 %","13,76 %","1,22 %"
